G1,G2,G3,G4 ,G5
https://leetcode.com/problems/pacific-atlantic-water-flow/,https://leetcode.com/problems/house-robber/,https://leetcode.com/problems/minimum-size-subarray-sum/,https://leetcode.com/problems/count-of-range-sum/,https://leetcode.com/problems/reorganize-string/
https://leetcode.com/problems/clone-graph/,https://leetcode.com/problems/maximum-subarray/,https://leetcode.com/problems/fruit-into-baskets/,https://leetcode.com/problems/count-of-range-sum/,https://leetcode.com/problems/palindrome-pairs/
https://leetcode.com/problems/number-of-islands/,https://leetcode.com/problems/maximum-subarray/,https://leetcode.com/problems/permutation-in-string/,https://leetcode.com/problems/peak-index-in-a-mountain-array/,https://leetcode.com/problems/sort-characters-by-frequency/
https://leetcode.com/problems/course-schedule/,https://leetcode.com/problems/house-robber-ii/,https://leetcode.com/problems/longest-repeating-character-replacement/,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,https://leetcode.com/problems/prefix-and-suffix-search/
https://leetcode.com/problems/course-schedule/,https://leetcode.com/problems/coin-change/,https://leetcode.com/problems/longest-substring-without-repeating-characters/,https://leetcode.com/problems/find-peak-element/,https://leetcode.com/problems/task-scheduler/
https://leetcode.com/problems/course-schedule-ii/,https://leetcode.com/problems/maximum-product-subarray/,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length/,https://leetcode.com/problems/search-in-rotated-sorted-array/,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/
https://leetcode.com/problems/minimum-height-trees/,https://leetcode.com/problems/longest-increasing-subsequence/,https://leetcode.com/problems/max-consecutive-ones-iii/,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/
https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,https://leetcode.com/problems/longest-palindromic-substring/,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/,https://leetcode.com/problems/search-a-2d-matrix/,https://leetcode.com/problems/sliding-window-median/
https://leetcode.com/problems/binary-tree-level-order-traversal/,https://leetcode.com/problems/word-break/,https://leetcode.com/problems/sliding-window-maximum/,https://leetcode.com/problems/search-a-2d-matrix-ii/,https://leetcode.com/problems/find-median-from-data-stream/
https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,https://leetcode.com/problems/combination-sum-iv/,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips/,https://leetcode.com/problems/find-k-closest-elements/,https://leetcode.com/problems/maximum-frequency-stack/
https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,https://leetcode.com/problems/decode-ways/,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string/,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,https://leetcode.com/problems/course-schedule-iii/
https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/,https://leetcode.com/problems/unique-paths/,https://leetcode.com/problems/minimum-window-substring/,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/
https://leetcode.com/problems/binary-tree-right-side-view/,https://leetcode.com/problems/jump-game/,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,https://leetcode.com/problems/koko-eating-bananas/,https://leetcode.com/problems/merge-k-sorted-lists/
https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/,https://leetcode.com/problems/palindromic-substrings/,https://leetcode.com/problems/trapping-rain-water/,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/,https://leetcode.com/problems/concatenated-words/
